"Börsdata ID","Bolagsnamn","Info - Ticker","Info - Yahoo","Info - Sektor","Info - Bransch","Info - Lista","Info - Land","Info - Not.datum","Info - Kursvaluta","Info - Rapportvaluta"
"558","NFO Drives","NFO","NFO.ST","Industri","Energi & Återvinning","Spotlight","Sverige","2013-10-07","SEK","SEK"
"354","Nordic Flanges","NFGAB","NFGAB.ST","Industri","Industrikomponenter","First North","Sverige","2007-11-22","SEK","SEK"
"277","Nordic LEVEL","LEVEL","LEVEL.ST","Industri","Säkerhet","First North","Sverige","1997-01-01","SEK","SEK"
"2298","Norditek","NOTEK","NOTEK.ST","Industri","Energi & Återvinning","First North","Sverige","2021-11-10","SEK","SEK"
"1338","NYAB","NYAB","NYAB.ST","Industri","Byggnation & Infrastruktur","First North","Sverige","2016-06-15","SEK","EUR"
"343","Ogunsen","OGUN B","OGUN-B.ST","Industri","Bemanning","First North","Sverige","2007-03-06","SEK","SEK"
"914","Photocat","PCAT","PCAT.ST","Industri","Installation & VVS","Spotlight","Sverige","2015-11-20","SEK","DKK"
"177","PION Group","PION B","PION-B.ST","Industri","Bemanning","Small Cap","Sverige","1999-06-23","SEK","SEK"
"1078","Plejd","PLEJD","PLEJD.ST","Industri","Elektroniska komponenter","Spotlight","Sverige","2016-04-11","SEK","SEK"
"334","Precomp Solutions","PCOM B","PCOM-B.ST","Industri","Industrikomponenter","First North","Sverige","2007-08-29","SEK","SEK"
"184","ProfilGruppen","PROF B","PROF-B.ST","Industri","Industrikomponenter","Small Cap","Sverige","1997-06-19","SEK","SEK"
"2228","Profoto","PRFO","PRFO.ST","Industri","Industrikomponenter","Small Cap","Sverige","2021-07-01","SEK","SEK"
"2554","Qben Infra","QBEN","QBEN.ST","Industri","Byggnation & Infrastruktur","First North","Sverige","2024-11-29","SEK","SEK"
"1896","QleanAir","QAIR","QAIR.ST","Industri","Energi & Återvinning","First North","Sverige","2019-12-12","SEK","SEK"
"557","Railcare","RAIL","RAIL.ST","Industri","Stödtjänster & Service","Small Cap","Sverige","2007-10-08","SEK","SEK"
"2553","Ramlösa Shipping","RAMSH","RAMSH.ST","Industri","Sjöfart & Rederi","Spotlight","Sverige","2024-10-25","SEK","SEK"
"491","Recyctec","RECY B","RECY-B.ST","Industri","Energi & Återvinning","Spotlight","Sverige","2013-01-02","SEK","SEK"
"188","Rejlers","REJL B","REJL-B.ST","Industri","Affärskonsulter","Mid Cap","Sverige","2003-05-08","SEK","SEK"
"490","Safe at Sea","SAFE","SAFE.ST","Industri","Industrimaskiner","Spotlight","Sverige","2008-01-10","SEK","SEK"
"2639","Salix Group","SALIX","SALIX.ST","Industri","Byggmaterial","Mid Cap","Sverige","2026-06-15","SEK","SEK"
"331","Saxlund","SAXG","SAXG.ST","Industri","Energi & Återvinning","First North","Sverige","2005-03-27","SEK","SEK"
"419","Scandinavian Enviro","SES","SES.ST","Industri","Energi & Återvinning","First North","Sverige","2014-06-18","SEK","SEK"
"1438","Sdiptech","SDIP B","SDIP-B.ST","Industri","Installation & VVS","Mid Cap","Sverige","2017-05-12","SEK","SEK"
"479","Serstech","SERT","SERT.ST","Industri","Mätning & Analys","First North","Sverige","2013-08-23","SEK","SEK"
"2517","Sibek","SIBEK","SIBEK.ST","Industri","Affärskonsulter","First North","Sverige","2023-11-06","SEK","SEK"
"206","SinterCast","SINT","SINT.ST","Industri","Industrikomponenter","Small Cap","Sverige","1993-04-26","SEK","SEK"
"213","Studsvik","SVIK","SVIK.ST","Industri","Energi & Återvinning","Small Cap","Sverige","2001-05-04","SEK","SEK"
"761","Summa Defence","SUMMAS","SUMMAS.ST","Industri","Militär & Försvar","First North","Sverige","2015-04-02","SEK","EUR"
"2135","Tellusgruppen","TELLUS","TELLUS.ST","Industri","Utbildning","First North","Sverige","2021-04-28","SEK","SEK"
"1564","Tempest Security","TSEC","TSEC.ST","Industri","Säkerhet","First North","Sverige","2017-12-06","SEK","SEK"
"1789","Teqnion","TEQ","TEQ.ST","Industri","Industrikomponenter","First North","Sverige","2019-04-04","SEK","SEK"
"2586","Terranor Group","TERNOR","TERNOR.ST","Industri","Stödtjänster & Service","First North","Sverige","2025-06-30","SEK","SEK"
"1832","Tribox Group","TRIBO B","TRIBO-B.ST","Industri","Energi & Återvinning","First North","Sverige","2019-04-08","SEK","SEK"
"2209","Wall to Wall","WTW A","WTW-A.ST","Industri","Stödtjänster & Service","Small Cap","Sverige","2021-06-24","SEK","SEK"
"233","VBG Group","VBG B","VBG-B.ST","Industri","Industrikomponenter","Mid Cap","Sverige","1987-11-17","SEK","SEK"
"1663","Veteranpoolen","VPAB B","VPAB-B.ST","Industri","Bemanning","Spotlight","Sverige","2018-01-30","SEK","SEK"
"227","Viking Supply","VSSAB B","VSSAB-B.ST","Industri","Sjöfart & Rederi","First North","Sverige","1993-06-17","SEK","SEK"
"907","Vimab Group","VIMAB","VIMAB.ST","Industri","Affärskonsulter","First North","Sverige","2015-10-02","SEK","SEK"
"357","Wise Group","WISE","WISE.ST","Industri","Bemanning","Small Cap","Sverige","2007-04-05","SEK","SEK"
"2001","Wästbygg","WBGR B","WBGR-B.ST","Industri","Byggnation & Infrastruktur","Small Cap","Sverige","2020-10-13","SEK","SEK"
"240","XANO Industri","XANO B","XANO-B.ST","Industri","Industrikomponenter","Mid Cap","Sverige","1988-12-05","SEK","SEK"
"2388","Xer Tech","XER","XER.ST","Industri","Mätning & Analys","Spotlight","Sverige","2022-04-11","SEK","SEK"
"929","Zenergy","ZENZIP B","ZENZIP-B.ST","Industri","Bostadsbyggnation","Spotlight","Sverige","2015-12-07","SEK","SEK"
